id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P27-T20,P27,Legal academic,research,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC24 | SC26 | SC35 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC051 | SRC052 | SRC015,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P28-T03,P28,Empirical legal researcher,research,T03,Point-in-time and historical research,binding-authority | history,SC09 | SC10 | SC21 | SC23 | SC24 | SC04 | SC35,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,False
P28-T04,P28,Empirical legal researcher,research,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC09 | SC10 | SC21 | SC23 | SC24 | SC14 | SC30,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P28-T07,P28,Empirical legal researcher,research,T07,Construct a chronology,binding-authority | history | official-guidance,SC09 | SC10 | SC21 | SC23 | SC24 | SC04,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P28-T08,P28,Empirical legal researcher,research,T08,Compare jurisdictions,binding-authority | procedural-material,SC09 | SC10 | SC21 | SC23 | SC24 | SC01 | SC15,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,Separate authoritative sources per jurisdiction with explicit non-equivalence.,Same effective date across compared systems.,English rule generalised to UK | same label assumed same concept | asynchronous reform ignored,"Differences, commonalities, dates and institutional contexts are separately sourced.",False
P28-T13,P28,Empirical legal researcher,research,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC09 | SC10 | SC21 | SC23 | SC24 | SC04,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P28-T14,P28,Empirical legal researcher,research,T14,Quantitative or corpus analysis,binding-authority | history | contextual-material,SC09 | SC10 | SC21 | SC23 | SC24 | SC35,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Licensed corpus, denominator, extraction rules, code/version, missingness and uncertainty.",Snapshot date fixed and disclosed.,licence breach | selection bias | database absence treated as real-world absence,Analysis is reproducible and limitations follow from an auditable coverage ledger.,False
P28-T17,P28,Empirical legal researcher,research,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC09 | SC10 | SC21 | SC23 | SC24 | SC01,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P28-T20,P28,Empirical legal researcher,research,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC09 | SC10 | SC21 | SC23 | SC24 | SC12 | SC14 | SC30,SRC009 | SRC010 | SRC011 | SRC012 | SRC032 | SRC035 | SRC037 | SRC040 | SRC041 | SRC017 | SRC044 | SRC045,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P29-T01,P29,Law student,education,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC24 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC012,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P29-T02,P29,Law student,education,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC24 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P29-T03,P29,Law student,education,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC09 | SC24 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC004 | SRC015 | SRC070,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,False
P29-T04,P29,Law student,education,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC09 | SC24 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC012 | SRC067 | SRC072,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P29-T05,P29,Law student,education,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC09 | SC24 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC003 | SRC004,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,False
P29-T06,P29,Law student,education,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC24 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC012 | SRC068 | SRC069,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,False
P29-T07,P29,Law student,education,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC09 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC004,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P29-T12,P29,Law student,education,T12,Research legislative intent,history | binding-authority,SC01 | SC09 | SC24 | SC03 | SC25 | SC26,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC006 | SRC004 | SRC005,"Official Bill/stage documents, Hansard passages, explanatory notes and enacted text.",Historical source set fixed; later interpretation segregated.,ministerial statement treated as law | wrong Bill version | selective quotation,History is connected to enacted provisions without overstating interpretive weight.,False
P29-T16,P29,Law student,education,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC09 | SC24 | SC22 | SC28,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC022 | SRC031 | SRC034,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P29-T17,P29,Law student,education,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC24,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P29-T20,P29,Law student,education,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC24 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC013 | SRC012 | SRC067,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P30-T03,P30,"Librarian, archivist or knowledge manager",information,T03,Point-in-time and historical research,binding-authority | history,SC24 | SC35 | SC36 | SC04,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069 | SRC002 | SRC004 | SRC007,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,False
P30-T07,P30,"Librarian, archivist or knowledge manager",information,T07,Construct a chronology,binding-authority | history | official-guidance,SC24 | SC35 | SC36 | SC04,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069 | SRC002 | SRC004 | SRC007,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P30-T13,P30,"Librarian, archivist or knowledge manager",information,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC24 | SC35 | SC36 | SC04 | SC21,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069 | SRC002 | SRC004 | SRC007 | SRC032 | SRC035,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P30-T14,P30,"Librarian, archivist or knowledge manager",information,T14,Quantitative or corpus analysis,binding-authority | history | contextual-material,SC24 | SC35 | SC36,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069,"Licensed corpus, denominator, extraction rules, code/version, missingness and uncertainty.",Snapshot date fixed and disclosed.,licence breach | selection bias | database absence treated as real-world absence,Analysis is reproducible and limitations follow from an auditable coverage ledger.,False
P30-T16,P30,"Librarian, archivist or knowledge manager",information,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC24 | SC35 | SC36 | SC22 | SC28,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P30-T17,P30,"Librarian, archivist or knowledge manager",information,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC24 | SC35 | SC36 | SC01 | SC09,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069 | SRC001 | SRC002 | SRC007 | SRC009 | SRC010,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P30-T20,P30,"Librarian, archivist or knowledge manager",information,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC24 | SC35 | SC36 | SC12 | SC14 | SC30,SRC017 | SRC044 | SRC045 | SRC015 | SRC070 | SRC068 | SRC069 | SRC009 | SRC011 | SRC013 | SRC012 | SRC067,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P31-T01,P31,Journalist or fact-checker,media,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC21 | SC24 | SC27 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P31-T02,P31,Journalist or fact-checker,media,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC21 | SC24 | SC27 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P31-T03,P31,Journalist or fact-checker,media,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC09 | SC21 | SC24 | SC27 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,False
P31-T04,P31,Journalist or fact-checker,media,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC09 | SC21 | SC24 | SC27 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P31-T06,P31,Journalist or fact-checker,media,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC21 | SC24 | SC27 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,False
P31-T07,P31,Journalist or fact-checker,media,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC09 | SC21 | SC24 | SC27 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P31-T12,P31,Journalist or fact-checker,media,T12,Research legislative intent,history | binding-authority,SC01 | SC09 | SC21 | SC24 | SC27 | SC03 | SC25 | SC26,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Official Bill/stage documents, Hansard passages, explanatory notes and enacted text.",Historical source set fixed; later interpretation segregated.,ministerial statement treated as law | wrong Bill version | selective quotation,History is connected to enacted provisions without overstating interpretive weight.,False
P31-T13,P31,Journalist or fact-checker,media,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC09 | SC21 | SC24 | SC27 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P31-T16,P31,Journalist or fact-checker,media,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC09 | SC21 | SC24 | SC27 | SC22 | SC28,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P31-T17,P31,Journalist or fact-checker,media,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC21 | SC24 | SC27,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P31-T20,P31,Journalist or fact-checker,media,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC21 | SC24 | SC27 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC032 | SRC035 | SRC037 | SRC017 | SRC044 | SRC045,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P32-T01,P32,Litigant in person,public,T01,Locate controlling authority,binding-authority,SC01 | SC15 | SC17 | SC28 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P32-T02,P32,Litigant in person,public,T02,Determine whether law is in force,binding-authority,SC01 | SC15 | SC17 | SC28 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P32-T04,P32,Litigant in person,public,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC15 | SC17 | SC28 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P32-T09,P32,Litigant in person,public,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC15 | SC17 | SC28 | SC09,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P32-T10,P32,Litigant in person,public,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC15 | SC17 | SC28 | SC16,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P32-T16,P32,Litigant in person,public,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC15 | SC17 | SC28 | SC22,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process. Qualified human review is mandatory before consequential use.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",True
P32-T19,P32,Litigant in person,public,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC15 | SC17 | SC28 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P33-T01,P33,Member of the public,public,T01,Locate controlling authority,binding-authority,SC01 | SC17 | SC22 | SC28 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P33-T02,P33,Member of the public,public,T02,Determine whether law is in force,binding-authority,SC01 | SC17 | SC22 | SC28 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P33-T04,P33,Member of the public,public,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC17 | SC22 | SC28 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P33-T10,P33,Member of the public,public,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC17 | SC22 | SC28 | SC15 | SC16,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P33-T16,P33,Member of the public,public,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC17 | SC22 | SC28,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P33-T18,P33,Member of the public,public,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC17 | SC22 | SC28 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",False
P33-T19,P33,Member of the public,public,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC17 | SC22 | SC28 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC022 | SRC031 | SRC034 | SRC061 | SRC062 | SRC063,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P34-T03,P34,Legislative or legal-data engineer,technology,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC05 | SC09 | SC30 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC067 | SRC072 | SRC015 | SRC017,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,False
P34-T04,P34,Legislative or legal-data engineer,technology,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC05 | SC09 | SC30 | SC14,SRC001 | SRC002 | SRC007 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC067 | SRC072 | SRC012,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P34-T05,P34,Legislative or legal-data engineer,technology,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC05 | SC09 | SC30,SRC001 | SRC002 | SRC007 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC067 | SRC072,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,False
